"menu/createNewMenu/errorInputSection","Please set your "Section title" first"
"menu/createNewMenu/sectionHint","Give the menu section a clear name, for example 'Starters', 'Desserts', or 'Pizza'."
"menu/createNewMenu/add","Add"
"menu/createNewMenu/addSectionSuccess","A section has been added. Add product in order to preview/publish your menu."
"menu/createNewMenu/errorInput","Please set your "Menu title" first"
"menu/createNewMenu/faildCreate","Can not create new menu"
"menu/createNewMenu/faildCreateSection","Faild to create section."
"menu/menuList/headerTitle","MENUS LIST"
"menu/menuList/addMenu","Add menu"
"menu/menuList/addStaff","Add staff"
"menu/menuList/view","View"
"menu/menuList/close","Close"
"menu/menuList/viewMenu","View Menu"
"menu/menuList/coolMenuIsPublished","Cool! Menu is published!"
"menu/menuList/edit","Edit"
"menu/menuList/delete","Delete"
"menu/menuList/unpublish","Unpublish"
"menu/menuList/publish","Publish"
"menu/menuList/viewQR","View QR"
"menu/menuList/copyURL","Copy URL"
"menu/menuList/preview","Preview"
"menu/menuList/cancel","Cancel"
"menu/menuList/deleteMenu","Delete Menu"
"menu/menuList/deleteMenuButton","Yes, delete"
"menu/menuList/deleteMenuMsg","Are you sure you want to delete?"
"menu/menuList/menuURLCopiedToClipboard","Menu URL copied to clipboard."
"menu/menuList/publishMenu","Publish menu"
"menu/menuList/publishMenuButton","Yes, publish"
"menu/menuList/unPublishMenuButton","Yes, unpublish"
"menu/menuList/unPublishMenu","Unpublish menu"
"menu/menuList/publishMenuMsg","Are you sure you want to publish?"
"menu/menuList/unPublishMenuMsg","Are you sure you want to unpublish?"
"menu/menuList/publishSuccessMsg","The Menu has been published."
"menu/menuList/unPublishSuccessMsg","The Menu has been Unpublished."
"menu/menuList/deleteMenuSuccessMsg","The Menu has been deleted."
"menu/menuList/previewMenu","PREVIEW MENU"
"menu/sectionList/arrangeTitle","Re-arrange sections"
"menu/sectionList/show","Show"
"menu/sectionList/hide","Hide"
"menu/sectionList/addProduct","Add product"
"menu/sectionList/importFromHeniken","Import from Heineken"
"menu/sectionList/deleteSection","Delete {SectionName} section?"
"menu/sectionList/deleteSectionSuccessMsg","The Section has been deleted."
"menu/sectionList/updateSuccess","The Section has been updated."
"menu/sectionList/errorUpdateSection","The Section has not been updated."
"menu/productList/updateSuccess","The Product has been updated."
"menu/productList/errorUpdateProduct","The Product has not been updated."
"menu/productList/deleteProductSuccessMsg","The Product has been deleted."
"menu/productList/emptyProductTitle1","You haven't added any products yet."
"menu/productList/emptyProductTitle2","Please add one."
"menu/productList/arrangeTitle","Re-arrange products"
"menu/productList/importHeinekenTitle","Add Heineken products"
"menu/productList/selectAll","Select All"
"menu/productList/clear","Clear"
"menu/productList/addButton","Add"
"menu/productList/selectedTitle","{selectedNumber} of {totalItem} selected"
"menu/productList/defaultProductSelectString","Please select from the following"
"menu/productList/productTitle","Product"
"menu/productList/sectionTitle","Section"
"menu/productList/errorImportProduct","Cannot import, please try again!"
"menu/productList/existedImport","The product already existed on the section. Please select other"
"menu/addProduct/title","ADD PRODUCT"
"menu/addProduct/titleEdit","EDIT PRODUCT"
"menu/addProduct/productImage","Product image"
"menu/addProduct/productName","Product name"
"menu/addProduct/titlePlaceholder","Product title"
"menu/addProduct/price","Price"
"menu/addProduct/description","Description"
"menu/addProduct/placeholderDes","Product description"
"menu/addProduct/18product","18+ product"
"menu/addProduct/add","Add"
"menu/addProduct/addSuccessMsg","Menu has been saved."
"menu/addProduct/update","Update"
"menu/addProduct/delete","Delete Product"
"menu/addProduct/deleteProduct","Delete this product?"
"menu/addProduct/errorName","Name can not be empty"
"menu/addProduct/errorPrice","Price can not be empty"
"menu/addProduct/errorAddProduct","Can not add product"
"menu/addProduct/updateSuccess","Update product success"
"menu/addProduct/errorUpdateProduct","Can not update product"
"imageFromDevice/titleUpload","TAKE A PHOTO OR UPLOAD"
"imageFromDevice/takeAPhoto","Take a photo"
"imageFromDevice/chooseFromLib","Choose from library"
"imageFromDevice/cancel","Cancel"
"imageFromDevice/uploadError","Can not upload image"
"myUsers/myUsers","MY USERS"
"myUsers/addUser","Add User"
"myUsers/editUser","Edit User"
"myUsers/outletManager","Outlet Manager"
"myUsers/phoneNumber","Phone Number"
"myUsers/password","Password"
"myUsers/name","Name"
"myUsers/role","Role"
"myUsers/add","Add"
"myUsers/cancel","Cancel"
"myUsers/update","Update"
"myUsers/deleteMenuButton","Yes, delete"
"myUsers/deleteThisUser","Delete this user?"
"myUsers/deleteDesc","Are you sure you want to delete?"
"myUsers/communitySeller","Community Seller"
"myUsers/faildCreate","Can not create new user"
"myUsers/faildUpdate","Can not update this user"
"myUsers/faildDeleted","Can not delete this user"
"myUsers/successCreate","User has been added"
"myUsers/successUpdate","User has been updated"
"myUsers/successUpdatePhoneNumber","Phone number has been updated"
"myUsers/successUpdatePassword","Password has been updated"
"myUsers/you","(You)"
"promotions/myPromotions/titleHeader","MY PROMOTIONS"
"promotions/myPromotions/des","UMenu offers easy and perfect solutions to push sales for your outlet."
"promotions/myPromotions/textButton","Get started"
"promotions/listPromotions/titleHeader","MY PROMOTIONS"
"promotions/listPromotions/title","Manage your promotions here"
"promotions/listPromotions/titleGift","GIFTS WITH PURCHASE"
"promotions/listPromotions/desGift","Set up to offer free gifts with every single purchase"
"promotions/listGift/titleHeader","GIFTS WITH PURCHASE"
"promotions/listGift/titleNoGift","No gifts yet"
"promotions/listGift/desNoGift1","You haven’t created any gifts yet."
"promotions/listGift/desNoGift2","Please create one."
"promotions/listGift/createGift","Create gift"
"promotions/listGift/all","ALL"
"promotions/listGift/active","Active"
"promotions/listGift/inactive","Inactive"
"promotions/listGift/activeTab","ACTIVE"
"promotions/listGift/inactiveTab","INACTIVE"
"promotions/listGift/from","From"
"promotions/listGift/to","To"
"promotions/selectMenu/titleHeader","SELECT MENU"
"promotions/selectMenu/select","Select"
"promotions/currentGift/titleCreate","CREATE GIFT"
"promotions/currentGift/titleEdit","EDIT GIFT"
"promotions/currentGift/giftInfo","GIFT INFORMATION"
"promotions/currentGift/giftName","Gift name"
"promotions/currentGift/placeHolderGiftName","Enter gift name"
"promotions/currentGift/des","Description"
"promotions/currentGift/placeHolderGiftDes","Enter description"
"promotions/currentGift/applicableProducts","APPLICABLE PRODUCT(S)"
"promotions/currentGift/giftProducts","GIFT PRODUCT(S)"
"promotions/currentGift/selectProduct","Select product"
"promotions/currentGift/selectMoreProduct","Select more product"
"promotions/currentGift/selectProductGift","Add product"
"promotions/currentGift/selectMoreProductGift","Add more product"
"promotions/currentGift/selectGift","You haven’t added any gifts yet."
"promotions/currentGift/notSelectMsg","You haven’t selected any products yet. "
"promotions/currentGift/plsSelectMore","Please select product(s)."
"promotions/currentGift/plsSelectMoreGift","Please add one."
"promotions/currentGift/quantity","Quantity"
"promotions/currentGift/selectFromMenu","Select from menu"
"promotions/currentGift/addNew","Add new"
"promotions/currentGift/titleSelect","SELECT FROM MENU"
"promotions/currentGift/titleAdd","ADD NEW"
"promotions/currentGift/desSelect","Select a product from your menu and set it as a gift."
"promotions/currentGift/desAdd","Add a new gift."
"promotions/currentGift/gotIt","Got it"
"promotions/currentGift/conditions","CONDITIONS"
"promotions/currentGift/limitgift","Limit the number of gift"
"promotions/currentGift/limitUses","Limit the uses per customer"
"promotions/currentGift/placeholderMaxGift","Enter number of gift"
"promotions/currentGift/placeholderMaxUses","Enter number of use"
"promotions/currentGift/validityPeriod","Validity Period"
"promotions/currentGift/startDate","Start date"
"promotions/currentGift/endDate","End date"
"promotions/selectProductScreen/headerTitle","SELECT PRODUCT"
"promotions/selectProductScreen/selected","selected"
"promotions/addNewGift/headerTitle","ADD NEW GIFT"
"promotions/addNewGift/productImage","Product image"
"promotions/addNewGift/productName","Product name"
"promotions/addNewGift/placeHolderName","Enter product name"
"promotions/addNewGift/add","Add"
"promotions/addNewGift/errorInputName","Please enter product name"
"adminUsers/users","Users"
"adminUsers/deleteMenuButton","Yes, delete"
